"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C5","C0805","2786.261mil","3254mil","2786.261mil","3254mil","2786.261mil","3218.567mil","T","90.00","C0805C473J8GACAUTO"
"C4","C0805","2567mil","3254mil","2567mil","3254mil","2567mil","3218.567mil","T","90.00","C0805C473J8GACAUTO"
"C3","CAPC2012X88N","3043mil","2836.032mil","3043mil","2836.032mil","3043mil","2867.528mil","T","270.00","C0805C104K4RACTU"
"C1","CAPC2012X88N","2867mil","2289mil","2867mil","2289mil","2898.496mil","2289mil","T","180.00","C0805C104K3RACTU"
"S2","SS1015SPE","3458.97mil","3125.748mil","3458.97mil","3110mil","3308.97mil","2975.748mil","T","90.00","SS-10-15SPE"
"C2","C0805","2938mil","2832.095mil","2938mil","2832.095mil","2938mil","2867.528mil","T","270.00","C0805C106K8RACTU"
"Q5","SOT96P240X120-3N","598.118mil","2656mil","598.118mil","2656mil","560.323mil","2614.661mil","T","90.00","2N7002"
"C10","CAPC2012X88N","989mil","1169mil","989mil","1169mil","1020.496mil","1169mil","T","180.00","C0805C104K3RACTU"
"D1","SOD3716X125N","655mil","1546mil","655mil","1546mil","655mil","1481.039mil","T","90.00","1N5819HW-7-F"

